token_id,market,equipment,boost,location,skill,minted,image,owner
57,miata,Pick & Shovel,Jedi,Jungle Night,113,1/12/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ57.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
58,miata,Pick & Shovel,Jedi,Jungle Night,113,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ58.png,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
59,miata,Pick & Shovel,Jedi,Jungle Night,113,9/4/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ59.png,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
60,miata,Pick & Shovel,Jedi,Jungle Night,113,6/24/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ60.png,terra10wn0hguustj8w00uvsq7x8tncuc6ak49zm64sr
61,miata,Pick & Shovel,Jedi,Jungle Night,113,7/8/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ61.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
62,miata,Pick & Shovel,Jedi,Jungle Night,113,6/29/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ62.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
63,miata,Pick & Shovel,Jedi,Jungle Night,113,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ63.png,terra199krtqdrxphhrg5r2adle46nyhza73w39k64d0
64,miata,Pick & Shovel,Jedi,Jungle Night,113,6/29/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ64.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
65,miata,Pick & Shovel,Jedi,Jungle Night,113,6/29/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ65.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
66,miata,Pick & Shovel,Jedi,Jungle Night,113,1/27/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ66.png,terra1tf8wz4evp0x4f669djdfczjdy6sh3llwsyr05l
67,miata,Pick & Shovel,Jedi,Jungle Night,113,11/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/PSJ67.png,terra1ygp5u80w0yk4x0rr86557xjxjwfppjhy4xzauh
